url,method,file,line_start,line_end
"/plans",GET,"src/js/Grammarly-bg.js",8001,10000
"/setup-trial",GET,"src/js/Grammarly-bg.js",8001,10000
"/special-offers",GET,"src/js/Grammarly-bg.js",8001,10000
"/subscribe",GET,"src/js/Grammarly-bg.js",8001,10000
"grammarly.com",GET,"src/js/Grammarly-bg.js",48001,50000
"gateway.grammarly.com",GET,"src/js/Grammarly-bg.js",50001,52000
"authorship.grammarly.com",GET,"src/js/Grammarly-bg.js",50001,52000
"goldengate",GET,"src/js/Grammarly-bg.js",50001,52000
"capi",GET,"src/js/Grammarly-bg.js",50001,52000
"f-log-inkwell.grammarly.io",GET,"src/js/Grammarly-bg.js",54001,56000
"auth.grammarly.com",GET,"src/js/Grammarly-bg.js",58001,60000
"tokens.grammarly.com",GET,"src/js/Grammarly-bg.js",58001,60000
"grammarly.io",GET,"src/js/Grammarly-bg.js",58001,60000
"qagr.io",GET,"src/js/Grammarly-bg.js",58001,60000
"ppgr.io",GET,"src/js/Grammarly-bg.js",58001,60000
"coda.io",GET,"src/js/Grammarly-bg.js",62001,64000
"coda.grammarly.com",GET,"src/js/Grammarly-bg.js",62001,64000
"superhuman.com",GET,"src/js/Grammarly-bg.js",60001,62000
"pp-sh.io",GET,"src/js/Grammarly-bg.js",60001,62000
"staging-superhuman.com",GET,"src/js/Grammarly-bg.js",60001,62000
"vmetrics.grammarly.com",GET,"src/js/Grammarly-bg.js",82001,84000
"https://properties.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://treatment.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://gates.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://f-log-extension.grammarly.io",GET,"src/js/Grammarly-check.js",1,2000
"https://extension.femetrics.grammarly.io",GET,"src/js/Grammarly-check.js",1,2000
"https://api.iterable.com",GET,"src/js/Grammarly-check.js",1,2000
"https://assets.extension.grammarly.com",GET,"src/js/Grammarly-check.js",1,2000
"https://capi.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://data.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://gateway.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://config.extension.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"https://subscription.grammarly.com",GET,"src/js/Grammarly-check.js",2001,4000
"deepl.com",external,translation,"src/js/Grammarly.js",26001,28000
"iterable.com",external,marketing,"src/js/Grammarly.js",26001,28000
"capiUrl",grammarly,checking,"src/js/Grammarly.js",36001,38000
"gateway.grammarly.com",grammarly,gateway,"src/js/Grammarly.js",36001,38000
"goldengate.grammarly.io",grammarly,gateway,"src/js/Grammarly.js",36001,38000
"grammarly.com/plans",grammarly,subscription,"src/js/Grammarly.js",38001,40000
"grammarly.com/upgrade",grammarly,subscription,"src/js/Grammarly.js",38001,40000
"grammarly.com/account",grammarly,account,"src/js/Grammarly.js",38001,40000
"vmetrics.grammarly.com",grammarly,metrics,"src/js/Grammarly-gDocs.js",28001,30000
"coda.grammarly.com",grammarly,platform,"src/js/Grammarly-gDocs.js",28001,30000
"f-log-inkwell.grammarly.io",grammarly,logging,"src/js/Grammarly-gDocs.js",28001,30000
"properties.grammarly.com",grammarly,configuration,"src/js/Grammarly-gDocs.js",8001,10000
"treatment.grammarly.com",grammarly,experiments,"src/js/Grammarly-gDocs.js",8001,10000
"dox.grammarly.com",grammarly,documentation,"src/js/Grammarly-gDocs.js",64001,66000
"subscription.grammarly.com",grammarly,subscription,"src/js/Grammarly-gDocs.js",64001,66000
"support.grammarly.com",grammarly,support,"src/js/Grammarly-gDocs.js",64001,66000
"in-product.report.grammarly.io",grammarly,reporting,"src/js/Grammarly-gDocs.js",64001,66000
"config.extension.grammarly.com",grammarly,configuration,"src/js/Grammarly-gDocs.js",64001,66000
"rwsgfy.grammarly.com",grammarly,unknown,"src/js/Grammarly-gDocs.js",64001,66000
"auth.grammarly.com",grammarly,authentication,"src/js/Grammarly-gDocs.js",102001,104000
"auth.ppgr.io",grammarly,authentication,"src/js/Grammarly-gDocs.js",102001,104000
"auth.qagr.io",grammarly,authentication,"src/js/Grammarly-gDocs.js",102001,104000
"tokens.grammarly.com",grammarly,authentication,"src/js/Grammarly-gDocs.js",102001,104000
"revoke-by-refresh-token",grammarly,authentication,"src/js/Grammarly-gDocs.js",102001,104000
"userinfo",grammarly,authentication,"src/js/Grammarly-gDocs.js",102001,104000
"/oauth2/token",grammarly,authentication,"src/js/Grammarly.js",90001,92000
"/oauth2/exchange",grammarly,authentication,"src/js/Grammarly.js",90001,92000
"/oauth2/authorize",grammarly,authentication,"src/js/Grammarly.js",90001,92000
"/api/revoke-by-refresh-token",grammarly,authentication,"src/js/Grammarly.js",90001,92000
"/api/userinfo",grammarly,authentication,"src/js/Grammarly.js",90001,92000
"/token",grammarly,authentication,"src/js/Grammarly.js",92001,94238
"/logout",grammarly,authentication,"src/js/Grammarly.js",92001,94238
